 x(m),T(K)
   0.00000, 300.00000
   0.05051, 300.00967
   0.10101, 300.01933
   0.15152, 300.02900
   0.20202, 300.03866
   0.25253, 300.04833
   0.30303, 300.05800
   0.35354, 300.06766
   0.40404, 300.07733
   0.45455, 300.08699
   0.50505, 300.09666
   0.55556, 300.10633
   0.60606, 300.11599
   0.65657, 300.12566
   0.70707, 300.13532
   0.75758, 300.14499
   0.80808, 300.15466
   0.85859, 300.16432
   0.90909, 300.17399
   0.95960, 300.18365
   1.01010, 300.19332
   1.06061, 300.20299
   1.11111, 300.21265
   1.16162, 300.22232
   1.21212, 300.23198
   1.26263, 300.24165
   1.31313, 300.25132
   1.36364, 300.26098
   1.41414, 300.27065
   1.46465, 300.28032
   1.51515, 300.28998
   1.56566, 300.29965
   1.61616, 300.30931
   1.66667, 300.31898
   1.71717, 300.32864
   1.76768, 300.33829
   1.81818, 300.34794
   1.86869, 300.35758
   1.91919, 300.36719
   1.96970, 300.37675
   2.02020, 300.38625
   2.07071, 300.39564
   2.12121, 300.40488
   2.17172, 300.41390
   2.22222, 300.42263
   2.27273, 300.43098
   2.32323, 300.43887
   2.37374, 300.44620
   2.42424, 300.45288
   2.47475, 300.45885
   2.52525, 300.46407
   2.57576, 300.46852
   2.62626, 300.47221
   2.67677, 300.47520
   2.72727, 300.47753
   2.77778, 300.47931
   2.82828, 300.48063
   2.87879, 300.48156
   2.92929, 300.48220
   2.97980, 300.48263
   3.03030, 300.48291
   3.08081, 300.48308
   3.13131, 300.48318
   3.18182, 300.48324
   3.23232, 300.48327
   3.28283, 300.48329
   3.33333, 300.48329
   3.38384, 300.48330
   3.43434, 300.48330
   3.48485, 300.48330
   3.53535, 300.48330
   3.58586, 300.48330
   3.63636, 300.48330
   3.68687, 300.48330
   3.73737, 300.48330
   3.78788, 300.48330
   3.83838, 300.48330
   3.88889, 300.48330
   3.93939, 300.48330
   3.98990, 300.48330
   4.04040, 300.48330
   4.09091, 300.48330
   4.14141, 300.48330
   4.19192, 300.48330
   4.24242, 300.48330
   4.29293, 300.48330
   4.34343, 300.48330
   4.39394, 300.48330
   4.44444, 300.48330
   4.49495, 300.48330
   4.54545, 300.48330
   4.59596, 300.48330
   4.64646, 300.48330
   4.69697, 300.48330
   4.74747, 300.48330
   4.79798, 300.48330
   4.84848, 300.48330
   4.89899, 300.48330
   4.94949, 300.48330
   5.00000, 300.48330
